id,main,barracks,stable,garage,watchtower,snob,smith,rally,statue,market,wood,stone,iron,farm,storage,hide,wall
765,9,11,0,0,0,0,4,0,1,10,15,9,24,16,16,8,0
782,19,8,0,0,0,0,5,0,1,14,17,16,17,13,11,10,0
799,10,7,0,0,0,0,4,0,1,9,24,14,17,17,14,3,0
1346,7,4,0,0,0,0,0,0,0,11,13,10,9,8,11,5,4
1739,19,9,7,0,0,0,9,0,1,9,12,12,14,18,15,7,0
1833,17,9,3,3,0,0,11,0,0,8,11,10,12,12,22,3,0
1936,14,7,2,0,0,0,11,0,0,19,13,6,20,14,10,7,1
1939,19,7,3,4,0,0,13,0,0,8,10,16,15,12,15,5,0
2269,20,25,20,15,0,1,20,0,0,25,30,30,30,30,30,10,0
2355,7,7,0,0,0,0,2,0,1,16,19,19,15,19,16,8,0
2654,15,12,5,4,0,0,12,0,0,9,15,15,13,18,15,6,0
2861,15,14,1,0,0,0,7,0,0,8,15,22,14,13,11,4,0
3263,17,13,6,0,0,0,9,0,0,16,11,11,15,15,15,3,2
3376,14,13,0,0,0,0,4,0,1,12,14,20,15,16,16,5,3
3492,9,10,0,0,0,0,5,0,0,9,11,17,16,21,14,10,1
3617,7,13,0,0,0,0,2,0,0,12,20,16,19,19,13,5,0
5077,6,7,0,0,0,0,0,0,1,17,16,18,17,21,16,4,1
5489,15,8,6,0,0,0,6,0,1,13,15,15,20,18,11,5,1
5865,19,13,2,0,0,0,6,0,0,4,18,13,16,13,16,4,0
5975,17,12,6,0,0,0,9,0,0,12,14,11,19,17,9,9,0
5988,14,10,3,0,0,0,7,0,0,7,13,23,9,14,17,10,1
6022,15,14,0,0,0,0,4,0,1,7,20,19,12,11,16,4,0
6039,17,12,0,0,0,0,4,0,1,11,11,15,19,19,14,10,0
6390,13,6,0,0,0,0,5,0,0,17,18,18,17,16,15,1,3
6734,11,13,0,0,0,0,3,0,0,10,11,13,19,12,23,7,0
6982,17,5,0,0,0,0,7,0,1,14,13,19,19,11,17,3,0
6995,9,10,0,0,0,0,4,0,0,8,21,20,15,10,13,5,0
7101,15,14,0,0,0,0,6,0,1,9,17,11,12,13,19,7,0
7405,5,5,0,0,0,0,1,0,1,17,16,17,17,12,21,10,2
7790,20,20,10,2,0,0,15,0,1,10,29,29,29,26,22,10,20
8094,14,5,0,0,0,0,4,0,0,16,15,19,20,15,16,6,1
8131,15,8,1,0,0,0,5,0,0,8,14,13,18,14,15,6,1
8398,10,7,2,1,0,0,10,0,0,8,11,14,13,14,24,3,1
8403,6,9,0,0,0,0,0,0,0,0,7,5,5,7,7,2,0
8454,12,11,1,0,0,0,5,0,1,9,13,17,11,15,20,7,20
8540,12,6,0,1,0,0,10,0,1,17,20,16,14,14,12,6,0
8674,19,14,2,0,0,0,7,0,0,15,12,8,16,17,9,3,0
8967,19,12,4,0,0,0,7,0,1,10,15,12,13,14,13,5,2
9164,15,13,0,0,0,0,5,0,0,13,20,17,14,14,15,6,0
9331,14,16,0,0,0,0,4,0,1,9,12,17,14,19,15,7,2
9399,11,9,0,0,0,0,2,0,0,11,14,12,19,9,19,4,0
9472,11,17,0,0,0,0,6,0,1,9,20,14,12,15,14,1,0
9518,9,18,0,0,0,0,3,0,0,13,12,14,10,21,15,3,0
9564,8,6,0,0,0,0,6,0,1,4,14,9,11,4,7,4,0
9666,15,16,4,0,0,0,7,0,0,11,8,12,16,15,11,3,1
9739,12,5,0,0,0,0,4,0,0,4,8,8,4,5,8,4,1
9784,12,5,0,0,0,0,2,0,1,2,7,8,7,7,4,1,1
9836,18,12,0,0,0,0,7,0,1,5,18,19,10,11,12,7,0
9840,16,2,0,0,0,0,7,0,1,12,14,22,13,18,13,5,1
9860,16,9,2,0,0,0,6,0,0,7,15,15,20,21,11,6,1
9889,12,9,1,0,0,0,8,0,0,6,21,12,22,9,15,10,1
9936,6,9,0,0,0,0,0,0,0,9,20,20,14,20,18,7,1
10046,15,13,0,0,0,0,5,0,1,12,21,14,16,12,14,4,0
10073,19,12,11,0,0,0,5,0,1,10,10,6,6,19,15,3,0
10105,16,6,2,0,0,0,5,0,1,9,18,17,11,20,17,6,5
10141,20,6,1,0,0,0,5,0,0,12,14,14,20,11,12,3,2
10223,19,14,4,0,0,0,8,0,0,9,15,12,9,14,17,5,0
10225,11,7,0,0,0,0,4,0,1,11,13,16,11,14,16,10,6
10235,19,5,2,0,0,0,5,0,0,5,9,21,10,16,19,8,0
10236,17,14,1,0,0,0,7,0,0,6,8,16,11,4,22,5,0
10241,17,10,4,0,0,0,7,0,1,15,17,13,16,15,13,4,1
10351,10,15,0,0,0,0,3,0,1,7,20,20,14,13,14,4,0
10407,13,11,3,1,0,0,11,0,1,8,13,11,13,13,12,4,2
10449,17,10,0,0,0,0,4,0,0,8,15,19,13,19,18,5,2
10457,12,10,5,0,0,0,6,0,0,7,18,16,8,19,21,5,5
10481,16,11,4,0,0,0,7,0,0,11,17,13,7,16,11,8,2
10490,18,13,2,0,0,0,11,0,0,10,13,11,18,13,14,8,0
10498,12,10,1,0,0,0,7,0,1,14,15,9,11,15,13,6,3
10527,19,6,0,0,0,0,5,0,0,16,15,13,15,20,11,6,1
10580,14,11,0,0,0,0,13,0,0,13,15,11,15,15,19,6,5
10582,16,12,1,0,0,0,5,0,0,9,11,15,21,13,18,6,2
10596,7,3,0,0,0,0,5,0,0,6,15,15,20,16,20,4,1
10597,13,15,2,0,0,0,7,0,1,8,18,20,13,13,11,3,0
10648,19,10,2,0,0,0,6,0,1,13,16,17,13,15,12,7,0
10669,17,12,11,0,0,0,12,0,1,17,18,18,17,15,20,5,3
10718,20,5,1,0,0,0,7,0,0,15,11,17,16,10,14,7,0
10771,14,11,3,0,0,0,9,0,0,9,16,20,20,11,10,3,0
10778,14,8,0,0,0,0,2,0,1,13,20,15,19,14,17,5,1
10796,18,2,0,0,0,0,7,0,1,7,17,14,13,11,22,9,0
10834,22,6,0,0,0,0,6,0,0,13,11,11,3,14,18,6,1
10856,19,7,0,0,0,0,5,0,0,17,12,15,12,18,15,6,4
10873,17,8,3,0,0,0,8,0,0,9,18,9,17,15,12,8,3
10888,19,15,2,0,0,0,7,0,0,6,9,11,19,12,14,4,0
10891,19,11,2,1,0,0,10,0,1,8,15,18,13,11,9,3,1
10905,15,10,3,0,0,0,8,0,1,15,11,10,10,12,14,6,2
10914,14,15,0,0,0,0,7,0,1,10,15,16,17,19,10,2,5
10917,17,9,2,0,0,0,8,0,0,10,21,18,9,11,15,4,0
10937,16,6,0,0,0,0,3,0,1,12,23,12,15,11,13,8,3
10943,15,11,2,0,0,0,8,0,0,14,19,15,14,15,16,6,3
10948,18,11,3,0,0,0,7,0,0,14,12,14,14,14,18,8,6
10964,16,12,0,0,0,0,3,0,0,8,18,21,16,14,12,9,0
11049,11,11,2,0,0,0,6,0,0,12,20,19,15,16,14,5,5
11064,5,5,0,0,0,0,1,0,1,6,17,18,18,19,22,6,0
11065,14,14,6,0,0,0,7,0,1,9,12,9,16,13,11,7,5
11174,11,13,0,0,0,0,8,0,0,8,22,13,15,18,16,3,5
11182,14,12,0,0,0,0,5,0,0,9,14,15,14,7,15,9,1
11235,14,7,4,0,0,0,8,0,1,9,18,19,19,11,15,3,2
11304,13,9,0,0,0,0,2,0,1,4,11,15,16,15,20,4,4
11320,10,12,0,0,0,0,10,0,1,19,13,14,16,13,14,10,2
11377,13,10,2,0,0,0,11,0,0,10,12,8,13,14,20,8,10
11396,13,9,0,0,0,0,4,0,0,6,16,20,13,23,14,6,1
11473,13,15,3,0,0,0,7,0,0,9,11,18,13,12,16,7,1
11523,21,6,4,0,0,0,9,0,1,10,11,11,11,13,13,1,3
11569,9,7,0,0,0,0,4,0,0,7,8,7,9,10,6,2,0
11573,11,8,0,0,0,0,7,0,0,9,20,16,15,12,22,4,1
11661,15,9,1,0,0,0,7,0,0,8,10,15,17,23,15,5,2
11672,15,9,0,0,0,0,4,0,0,10,19,19,15,17,18,5,0
11680,12,10,0,0,0,0,5,0,1,9,12,14,23,18,14,7,1
11698,14,12,5,0,0,0,9,0,0,8,10,15,20,19,16,2,1
11744,11,9,4,0,0,0,8,0,0,18,13,10,10,9,9,7,2
11746,12,12,0,0,0,0,3,0,0,11,21,11,18,18,16,5,1
11752,12,11,0,0,0,0,3,0,0,13,20,14,19,19,12,3,6
11784,11,10,0,0,0,0,4,0,0,8,16,11,15,13,15,5,2
11831,13,7,2,0,0,0,8,0,1,6,13,13,7,14,13,5,3
11865,15,13,6,0,0,0,11,0,0,6,13,12,20,17,11,4,2
11869,15,4,0,0,0,0,8,0,0,11,16,14,10,9,17,2,5
11885,20,9,2,0,0,0,7,0,1,4,11,13,14,20,15,5,0
11892,14,12,0,0,0,0,5,0,0,12,18,22,11,9,17,4,3
11920,15,12,3,0,0,0,6,0,0,8,20,14,10,17,19,4,1
11927,14,18,5,0,0,0,5,0,1,8,15,11,10,13,17,3,6
11986,15,10,1,3,0,0,13,0,1,14,10,16,17,15,9,4,1
12041,15,6,0,0,0,0,5,0,0,12,21,13,19,16,14,3,8
12090,17,13,0,0,0,0,4,0,1,7,18,16,15,16,16,4,4
12094,11,12,1,0,0,0,14,0,0,18,11,10,15,14,12,10,5
12098,14,7,2,1,0,0,12,0,0,15,12,15,12,20,15,10,0
12193,9,17,0,0,0,0,6,0,0,9,15,15,15,18,17,9,0
12198,20,10,0,0,0,0,4,0,0,10,13,12,20,16,10,7,2
12364,18,7,4,0,0,0,7,0,0,6,16,17,21,10,14,4,0
12380,17,12,0,0,0,0,4,0,0,12,13,19,7,17,19,5,1
12391,20,20,15,0,0,1,20,0,1,15,28,28,26,29,27,10,0
12495,13,14,1,0,0,0,6,0,0,12,16,14,11,20,18,7,3
12519,12,14,2,0,0,0,8,0,0,5,15,16,15,21,15,8,3
12526,9,6,0,0,0,0,6,0,1,5,10,17,10,17,18,4,0
12560,13,6,1,0,0,0,8,0,1,7,14,18,18,20,17,7,5
12564,18,14,6,0,0,0,7,0,0,11,13,11,16,17,15,6,0
12602,20,9,0,0,0,0,4,0,0,12,15,15,16,13,17,7,3
12622,15,11,0,0,0,0,3,0,0,9,11,14,8,15,11,1,1
12623,11,14,5,0,0,0,11,0,1,15,12,12,20,12,11,7,0
12708,14,13,2,0,0,0,9,0,0,13,14,10,20,13,17,4,2
12714,19,10,2,0,0,0,7,0,0,15,17,12,13,16,13,6,0
12785,16,14,6,0,0,0,9,0,1,11,15,19,15,9,8,4,0
12807,13,14,3,0,0,0,8,0,0,11,11,18,18,12,17,8,4
12857,15,12,4,1,0,0,10,0,1,14,15,14,15,10,13,6,2
12862,9,12,0,0,0,0,4,0,1,14,15,14,12,24,15,5,1
12905,16,13,3,0,0,0,10,0,0,11,11,14,18,15,15,10,5
12915,13,15,3,0,0,0,5,0,0,9,15,13,8,16,11,6,1
12963,18,17,0,0,0,0,3,0,0,13,10,10,15,17,12,3,0
13014,17,8,0,0,0,0,3,0,0,4,8,6,12,18,25,6,0
13022,12,9,0,0,0,0,4,0,1,6,8,15,15,14,9,7,2
13062,8,11,0,0,0,0,3,0,1,11,21,21,16,11,15,4,1
13105,14,16,6,1,0,0,10,0,0,12,8,13,10,12,19,5,1
13139,13,5,0,0,0,0,1,0,0,5,11,4,12,12,5,4,6
13151,6,6,0,0,0,0,4,0,0,5,14,9,11,9,7,4,3
13213,18,12,0,0,0,0,4,0,0,13,15,14,16,18,15,4,6
13240,10,11,0,0,0,0,3,0,1,3,5,7,6,5,4,6,11
13273,15,11,0,2,0,0,13,0,0,14,12,14,12,11,19,7,3
13281,11,13,4,0,0,0,7,0,0,8,19,15,14,8,16,10,1
13305,15,9,1,0,0,0,6,0,0,13,12,14,10,19,22,6,4
13313,11,13,0,0,0,0,4,0,1,18,7,14,21,13,11,10,0
13368,16,9,12,1,0,0,12,0,1,12,13,15,16,10,9,4,0
13405,15,13,4,2,0,0,10,0,0,10,12,15,18,14,15,9,5
13410,15,8,0,0,0,0,2,0,0,10,12,14,8,9,19,8,1
13544,15,8,1,0,0,0,5,0,1,18,17,14,13,10,13,2,0
13636,12,10,0,0,0,0,2,0,1,6,19,11,19,22,14,7,1
13639,14,12,0,0,0,0,4,0,1,14,21,12,18,13,12,6,2
13673,11,8,1,0,0,0,5,0,1,9,17,20,13,18,19,9,2
13751,12,9,1,0,0,0,8,0,0,11,9,8,14,17,16,6,1
13813,11,13,1,0,0,0,6,0,1,11,14,17,18,12,11,8,2
13838,16,8,5,0,0,0,7,0,0,11,18,15,18,14,14,3,2
13871,14,12,1,0,0,0,10,0,1,15,13,15,17,10,15,7,2
13883,14,9,0,0,0,0,4,0,1,13,15,18,12,16,21,5,2
13895,18,8,2,0,0,0,9,0,0,13,20,9,16,15,10,8,2
13970,14,15,4,0,0,0,6,0,0,9,21,9,16,14,11,8,2
14158,14,6,0,0,0,0,6,0,0,8,17,18,13,12,12,5,3
14183,16,11,3,0,0,0,5,0,0,7,12,16,12,13,16,3,1
14200,15,10,3,0,0,0,7,0,0,15,14,13,14,15,16,6,6
14258,12,10,1,0,0,0,9,0,0,10,16,16,15,18,21,2,1
14305,15,10,4,0,0,0,7,0,0,6,13,9,12,18,17,9,2
14322,19,12,1,0,0,0,7,0,1,9,14,19,8,17,11,10,4
14375,8,14,0,0,0,0,12,0,1,11,11,9,8,19,13,2,0
14417,16,12,3,0,0,0,6,0,1,10,15,13,20,15,15,5,2
14437,15,13,0,0,0,0,4,0,1,13,13,21,14,18,10,5,4
14461,20,5,1,0,0,0,8,0,0,15,12,11,11,14,19,6,0
14517,18,11,2,0,0,0,7,0,1,6,16,11,18,13,16,4,0
14599,14,12,1,0,0,0,7,0,0,11,12,14,9,8,9,4,2
14661,20,5,0,0,0,0,7,0,1,11,19,6,15,17,13,8,0
14749,8,11,0,0,0,0,2,0,1,3,18,18,11,13,17,10,18
14795,18,9,5,0,0,0,7,0,1,14,12,11,13,16,14,6,2
14819,19,11,0,0,0,0,1,0,1,12,17,14,9,15,18,4,6
14885,13,8,4,0,0,0,10,0,1,13,15,16,16,13,16,9,1
14972,10,18,1,0,0,0,6,0,0,7,14,12,19,15,14,4,3
14973,16,8,1,0,0,0,5,0,1,6,18,15,17,12,11,4,3
14995,10,15,0,0,0,0,10,0,1,14,21,9,14,12,13,7,0
14999,14,6,0,0,0,0,4,0,0,5,17,8,8,18,19,7,6
15003,13,6,0,0,0,0,2,0,1,9,18,18,15,13,22,5,1
15017,8,9,0,0,0,0,2,0,1,5,17,12,22,15,18,10,1
15019,17,13,0,0,0,0,4,0,0,9,19,17,14,14,17,6,1
15037,19,9,0,0,0,0,1,0,0,8,18,15,15,20,15,4,1
15065,17,10,0,0,0,0,3,0,0,11,14,23,14,8,14,5,5
15071,17,9,0,0,0,0,4,0,1,14,8,10,14,17,17,4,1
15392,12,10,4,0,0,0,8,0,1,13,11,15,18,10,14,9,5
15460,13,6,1,0,0,0,6,0,0,11,8,13,21,20,19,8,1
15508,13,6,0,0,0,0,2,0,0,6,8,14,10,19,10,5,1
15521,20,5,4,3,0,0,17,0,1,7,20,20,20,22,16,10,2
15554,11,8,0,0,0,0,10,0,1,10,16,13,14,23,17,6,1
15591,13,7,0,0,0,0,7,0,1,9,14,11,11,10,12,7,2
15675,11,12,9,0,0,0,8,0,0,15,16,14,15,11,19,2,1
15705,17,15,5,0,0,0,10,0,1,11,16,13,14,13,9,2,2
15717,16,6,5,0,0,0,7,0,0,18,16,11,11,12,14,2,5
15741,15,10,1,0,0,0,5,0,0,7,9,10,11,13,9,6,1
15768,10,8,0,0,0,0,7,0,1,5,10,17,11,9,10,4,6
