id,main,barracks,stable,garage,watchtower,snob,smith,rally,statue,market,wood,stone,iron,farm,storage,hide,wall
6984,10,2,0,0,0,0,2,0,0,2,14,14,13,4,13,5,0
6986,5,0,0,0,0,0,0,0,0,2,11,12,12,6,8,1,0
7094,4,2,0,0,0,0,0,0,0,3,2,6,1,9,3,2,1
7098,5,2,0,0,0,0,0,0,0,1,6,7,5,7,6,3,1
7255,5,1,0,0,0,0,0,0,0,2,3,3,3,9,5,3,1
7308,4,3,0,0,0,0,0,0,0,0,1,2,3,2,3,1,0
7488,5,3,0,0,0,0,0,0,0,2,3,2,2,5,3,1,1
7510,9,4,0,0,0,0,3,0,0,3,7,3,1,6,5,3,1
7624,5,0,0,0,0,0,0,0,0,1,4,2,6,7,6,1,0
7626,8,0,0,0,0,0,0,0,0,2,4,7,6,4,3,2,0
7627,3,2,0,0,0,0,0,0,0,1,2,4,7,2,2,2,1
7686,6,3,0,0,0,0,1,0,0,1,6,4,2,3,9,2,0
7742,7,4,0,0,0,0,0,0,0,1,4,3,6,7,5,2,1
7793,7,4,0,0,0,0,0,0,0,3,7,5,1,7,11,1,0
7838,4,1,0,0,0,0,0,0,0,0,6,6,7,6,6,2,0
7860,4,0,0,0,0,0,0,0,0,1,6,6,7,9,8,3,0
7998,7,0,0,0,0,0,0,0,0,2,4,5,4,5,5,1,0
8049,5,3,0,0,0,0,0,0,0,0,3,1,0,5,3,3,0
8050,7,8,0,0,0,0,0,0,0,0,4,2,4,4,3,1,2
8051,4,1,0,0,0,0,0,0,0,1,0,2,3,8,7,2,0
8052,3,0,0,0,0,0,0,0,0,0,3,8,6,4,10,1,0
8053,3,2,0,0,0,0,0,0,0,16,15,15,15,4,12,6,0
8055,4,1,0,0,0,0,0,0,0,12,9,9,9,1,10,4,0
8056,5,4,0,0,0,0,1,0,0,12,10,9,9,2,8,1,1
8077,6,0,0,0,0,0,0,0,0,0,6,4,4,9,6,4,0
8172,3,1,0,0,0,0,0,0,0,0,4,7,2,5,9,2,0
8252,6,0,0,0,0,0,0,0,0,4,9,6,3,5,4,6,0
8287,10,5,3,0,0,0,5,0,0,2,5,5,4,6,10,4,0
8289,10,5,3,0,0,0,5,0,0,1,4,4,4,5,8,4,5
